# MAUVE passband
# Derived from the MAUVE effective-area curve (Wavelength [nm], Effective area [cm2])
#   supplied by the user; normalised to unit peak. Only the spectral shape enters the
#   flux ratio, so the absolute collecting area cancels.
# Created: 2026-07-28
# provenance: official
# unit: nm
# transmission: fraction
272.7094 0.615260
273.0040 0.616979
273.2985 0.618700
273.5930 0.620226
273.8875 0.623196
274.1820 0.626159
274.4764 0.629118
274.7709 0.632083
275.0653 0.635054
275.3597 0.638031
275.6541 0.641014
275.9485 0.643910
276.2428 0.640933
276.5371 0.644680
276.8315 0.648434
277.1258 0.652187
277.4200 0.655937
277.7143 0.659694
278.0086 0.663457
278.3028 0.666309
278.5970 0.669025
278.8912 0.671745
279.1854 0.674470
279.4795 0.677350
279.7737 0.680271
280.0678 0.683195
280.3619 0.686116
280.6560 0.689042
280.9501 0.683064
281.2441 0.686963
281.5382 0.690870
281.8322 0.694784
282.1262 0.698623
282.4202 0.702362
282.7141 0.706106
283.0081 0.709883
283.3020 0.712914
283.5959 0.715822
283.8898 0.718735
284.1837 0.721651
284.4776 0.724571
284.7714 0.727494
285.0653 0.730130
285.3591 0.732116
285.6529 0.734244
285.9466 0.736432
286.2404 0.738615
286.5341 0.740799
286.8279 0.742986
287.1216 0.745176
287.4153 0.739990
287.7089 0.743172
288.0026 0.746360
288.2962 0.749474
288.5898 0.752460
288.8834 0.755450
289.1770 0.758445
289.4706 0.761443
289.7641 0.764229
290.0576 0.766869
290.3512 0.769532
290.6446 0.772199
290.9381 0.774869
291.2316 0.777543
291.5250 0.780220
291.8184 0.782820
292.1118 0.785358
292.4052 0.787882
292.6986 0.790410
292.9920 0.792941
293.2853 0.795475
293.5786 0.798011
293.8719 0.800550
294.1652 0.803099
294.4584 0.805655
294.7517 0.808214
295.0449 0.810777
295.3381 0.813342
295.6313 0.815911
295.9245 0.818366
296.2176 0.820700
296.5108 0.823033
296.8039 0.825313
297.0970 0.827528
297.3901 0.829744
297.6831 0.831961
297.9762 0.834180
298.2692 0.836389
298.5622 0.838599
298.8552 0.840810
299.1482 0.843022
299.4412 0.845235
299.7341 0.847449
300.0270 0.849673
300.3199 0.851980
300.6128 0.854289
300.9057 0.856600
301.1985 0.859262
301.4914 0.863244
301.7842 0.867229
302.0770 0.871221
302.3698 0.875225
302.6625 0.879231
302.9553 0.883241
303.2480 0.887187
303.5407 0.874730
303.8334 0.880118
304.1261 0.885446
304.4187 0.890596
304.7113 0.895746
305.0040 0.900898
305.2966 0.906050
305.5891 0.911204
305.8817 0.916358
306.1742 0.923357
306.4668 0.927574
306.7593 0.931791
307.0518 0.936009
307.3442 0.940227
307.6367 0.944446
307.9291 0.948666
308.2215 0.952890
308.5139 0.950900
308.8063 0.953636
309.0987 0.956373
309.3910 0.959110
309.6834 0.961847
309.9757 0.964584
310.2680 0.967313
310.5602 0.970042
310.8525 0.972063
311.1447 0.972766
311.4369 0.973469
311.7291 0.974172
312.0213 0.974875
312.3135 0.975582
312.6056 0.976154
312.8977 0.976724
313.1899 0.977294
313.4819 0.977863
313.7740 0.978433
314.0661 0.979000
314.3581 0.979560
314.6501 0.980121
314.9421 0.980681
315.2341 0.980548
315.5261 0.980277
315.8180 0.980005
316.1099 0.979743
316.4018 0.979495
316.6937 0.979247
316.9856 0.978999
317.2774 0.978751
317.5693 0.978503
317.8611 0.978254
318.1529 0.978001
318.4447 0.977743
318.7364 0.977484
319.0282 0.977226
319.3199 0.976968
319.6116 0.966908
319.9033 0.965481
320.1949 0.964069
320.4866 0.962666
320.7782 0.961352
321.0698 0.960084
321.3614 0.958815
321.6530 0.957546
321.9446 0.956277
322.2361 0.954996
322.5276 0.941783
322.8191 0.940895
323.1106 0.939802
323.4021 0.937369
323.6935 0.934936
323.9849 0.932503
324.2764 0.910738
324.5677 0.909710
324.8591 0.908662
325.1505 0.907548
325.4418 0.906435
325.7331 0.905321
326.0244 0.904209
326.3157 0.903116
326.6070 0.888151
326.8982 0.886815
327.1894 0.885479
327.4806 0.884144
327.7718 0.882808
328.0630 0.881471
328.3541 0.880126
328.6453 0.878782
328.9364 0.877437
329.2275 0.876093
329.5185 0.874749
329.8096 0.873405
330.1006 0.872061
330.3916 0.870715
330.6826 0.869370
330.9736 0.868025
331.2646 0.866680
331.5555 0.865334
331.8465 0.863989
332.1374 0.862664
332.4282 0.861360
332.7191 0.860057
333.0100 0.858753
333.3008 0.857449
333.5916 0.857284
333.8824 0.858534
334.1732 0.859778
334.4639 0.861019
334.7547 0.862259
335.0454 0.863499
335.3361 0.864740
335.6268 0.865980
335.9174 0.867219
336.2081 0.868478
336.4987 0.869745
336.7893 0.871011
337.0799 0.872278
337.3705 0.873646
337.6610 0.875033
337.9515 0.876420
338.2420 0.870029
338.5325 0.872374
338.8230 0.874692
339.1135 0.877010
339.4039 0.879328
339.6943 0.881646
339.9847 0.883964
340.2751 0.886352
340.5655 0.888747
340.8558 0.891143
341.1461 0.893539
341.4364 0.895785
341.7267 0.897937
342.0170 0.900085
342.3072 0.902197
342.5974 0.904308
342.8876 0.906418
343.1778 0.908528
343.4680 0.910637
343.7582 0.912745
344.0483 0.914856
344.3384 0.916990
344.6285 0.919124
344.9186 0.921256
345.2086 0.923388
345.4987 0.925427
345.7887 0.927305
346.0787 0.929172
346.3687 0.931017
