# Ariel AIRS-CH1 passband
# Source: SVO Filter Profile Service (Ariel), provided by the user
# Added: 2026-07-28
# provenance: official
# unit: micron
# transmission: fraction
3.9040000000 0.2784731668
3.9120000000 0.2949982086
3.9210000000 0.3121469522
3.9300000000 0.3262749586
3.9380000000 0.3388168870
3.9470000000 0.3497428830
3.9550000000 0.3590002053
3.9640000000 0.3674810605
3.9730000000 0.3735000179
3.9810000000 0.3781185166
3.9900000000 0.3815556318
3.9980000000 0.3837935016
4.0070000000 0.3851600835
4.0160000000 0.3857458662
4.0240000000 0.3859238149
4.0330000000 0.3858116914
4.0410000000 0.3854638204
4.0500000000 0.3848709905
4.0590000000 0.3838822439
4.0670000000 0.3829239253
4.0760000000 0.3820125664
4.0840000000 0.3809950105
4.0930000000 0.3799542068
4.1020000000 0.3788778627
4.1100000000 0.3777858358
4.1190000000 0.3768119334
4.1280000000 0.3758717651
4.1360000000 0.3749264416
4.1450000000 0.3739105837
4.1530000000 0.3729199261
4.1620000000 0.3717946826
4.1710000000 0.3707502000
4.1790000000 0.3698592911
4.1880000000 0.3687107315
4.1960000000 0.3672952063
4.2050000000 0.3653219256
4.2140000000 0.3622440310
4.2220000000 0.3598518367
4.2310000000 0.3582843147
4.2390000000 0.3572321622
4.2480000000 0.3571894314
4.2570000000 0.3571492752
4.2650000000 0.3562513021
4.2740000000 0.3544967864
4.2820000000 0.3533653677
4.2910000000 0.3524352595
4.3000000000 0.3519314149
4.3080000000 0.3515624734
4.3170000000 0.3513482682
4.3260000000 0.3512640751
4.3340000000 0.3509727716
4.3430000000 0.3503890703
4.3510000000 0.3497126876
4.3600000000 0.3490404971
4.3690000000 0.3484836207
4.3770000000 0.3479704963
4.3860000000 0.3474883519
4.3940000000 0.3470514366
4.4030000000 0.3466922497
4.4120000000 0.3463804191
4.4200000000 0.3460546114
4.4290000000 0.3458170685
4.4370000000 0.3456923373
4.4460000000 0.3456626404
4.4550000000 0.3456876529
4.4630000000 0.3457256686
4.4720000000 0.3457192226
4.4800000000 0.3457320531
4.4890000000 0.3458862509
4.4980000000 0.3461966751
4.5060000000 0.3465977458
4.5150000000 0.3470169356
4.5240000000 0.3474759165
4.5320000000 0.3479840099
4.5410000000 0.3485294472
4.5490000000 0.3491151588
4.5580000000 0.3497543698
4.5670000000 0.3504399719
4.5750000000 0.3512206801
4.5840000000 0.3520554678
4.5920000000 0.3528833794
4.6010000000 0.3536850565
4.6100000000 0.3545410694
4.6180000000 0.3553626914
4.6270000000 0.3561939586
4.6350000000 0.3570918103
4.6440000000 0.3581018681
4.6530000000 0.3590508740
4.6610000000 0.3600635501
4.6700000000 0.3612826361
4.6780000000 0.3625518365
4.6870000000 0.3637735678
4.6960000000 0.3650310269
4.7040000000 0.3662429958
4.7130000000 0.3674990012
4.7220000000 0.3688625539
4.7300000000 0.3701130816
4.7390000000 0.3713940731
4.7470000000 0.3728935737
4.7560000000 0.3743578996
4.7650000000 0.3758043153
4.7730000000 0.3772754518
4.7820000000 0.3785738853
4.7900000000 0.3799028995
4.7990000000 0.3813526198
4.8080000000 0.3827837603
4.8160000000 0.3841927581
4.8250000000 0.3854302194
4.8330000000 0.3867327953
4.8420000000 0.3883064314
4.8510000000 0.3897583653
4.8590000000 0.3910420961
4.8680000000 0.3922406388
4.8760000000 0.3935468876
4.8850000000 0.3948438812
4.8940000000 0.3959086439
4.9020000000 0.3969912601
4.9110000000 0.3982125988
4.9200000000 0.3994797569
4.9280000000 0.4004782831
4.9370000000 0.4015151010
4.9450000000 0.4025350454
4.9540000000 0.4034349162
4.9630000000 0.4044172784
4.9710000000 0.4053384442
4.9800000000 0.4062350428
4.9880000000 0.4071279244
4.9970000000 0.4080378077
5.0060000000 0.4086793554
5.0140000000 0.4091914861
5.0230000000 0.4097035264
5.0310000000 0.4102016727
5.0400000000 0.4107573346
5.0490000000 0.4112461714
5.0570000000 0.4116648646
5.0660000000 0.4120130551
5.0740000000 0.4122766161
5.0830000000 0.4125965036
5.0920000000 0.4128445291
5.1000000000 0.4129221701
5.1090000000 0.4126883830
5.1180000000 0.4130105537
5.1260000000 0.4130792439
5.1350000000 0.4130188579
5.1430000000 0.4131242051
5.1520000000 0.4131555760
5.1610000000 0.4130522745
5.1690000000 0.4129893806
5.1780000000 0.4128859355
5.1860000000 0.4126279436
5.1950000000 0.4122704523
5.2040000000 0.4120454111
5.2120000000 0.4116380893
5.2210000000 0.4112312375
5.2290000000 0.4108547602
5.2380000000 0.4106076001
5.2470000000 0.4103920555
5.2550000000 0.4101258938
5.2640000000 0.4098153439
5.2720000000 0.4093851314
5.2810000000 0.4089877616
5.2900000000 0.4084885774
5.2980000000 0.4081821476
5.3070000000 0.4077416510
5.3160000000 0.4073275658
5.3240000000 0.4067398421
5.3330000000 0.4060923987
5.3410000000 0.4055234588
5.3500000000 0.4048303074
5.3590000000 0.4044972321
5.3670000000 0.4041134470
5.3760000000 0.4036329622
5.3840000000 0.4031281921
5.3930000000 0.4024790156
5.4020000000 0.4018566764
5.4100000000 0.4012069486
5.4190000000 0.4006067111
5.4270000000 0.3999019823
5.4360000000 0.3990907754
5.4450000000 0.3984139203
5.4530000000 0.3978505923
5.4620000000 0.3970309974
5.4700000000 0.3966791295
5.4790000000 0.3963260665
5.4880000000 0.3958254729
5.4960000000 0.3952602180
5.5050000000 0.3946231745
5.5140000000 0.3938764600
5.5220000000 0.3931427934
5.5310000000 0.3924772006
5.5390000000 0.3917865968
5.5480000000 0.3909622693
5.5570000000 0.3902292436
5.5650000000 0.3896105933
5.5740000000 0.3889347635
5.5820000000 0.3880980353
5.5910000000 0.3874727962
5.6000000000 0.3868957708
5.6080000000 0.3861939791
5.6170000000 0.3856217331
5.6250000000 0.3849419328
5.6340000000 0.3840968797
5.6430000000 0.3832498073
5.6510000000 0.3826171139
5.6600000000 0.3820570227
5.6680000000 0.3815745223
