# Ariel FGS2 passband
# Source: SVO Filter Profile Service (Ariel), provided by the user
# Added: 2026-07-28
# provenance: official
# unit: micron
# transmission: fraction
0.8050000000 0.3278852065
0.8130000000 0.3969596931
0.8220000000 0.4394022966
0.8300000000 0.4560365977
0.8390000000 0.4581243352
0.8480000000 0.4592009697
0.8560000000 0.4612604643
0.8650000000 0.4564998470
0.8730000000 0.4263562565
0.8820000000 0.3882470558
0.8910000000 0.4386195933
0.8990000000 0.4650880117
0.9080000000 0.4659119496
0.9170000000 0.4668073833
0.9250000000 0.4485666043
0.9340000000 0.3609796499
0.9420000000 0.3964568157
0.9510000000 0.4670928464
0.9600000000 0.4822784324
0.9680000000 0.4844727342
0.9770000000 0.4827929501
0.9850000000 0.4790088757
0.9940000000 0.4733145223
1.0030000000 0.4631928892
1.0110000000 0.4400564401
1.0200000000 0.4107491560
1.0280000000 0.4092684461
1.0370000000 0.4239677725
1.0460000000 0.4330288130
1.0540000000 0.4391447957
1.0630000000 0.4469538322
1.0710000000 0.4555100646
1.0800000000 0.4588670100
1.0890000000 0.4343969093
1.0970000000 0.3185543828
