teff,logg,mh,alpha,node
18000,2.25,0.301,0,234
18000,2.5,-1,0,235
18000,2.5,-0.699,0,236
18000,2.5,-0.301,0,237
18000,2.5,0,0,239
18000,2.5,0.301,0,240
18000,2.75,-1,0,241
18000,2.75,-0.699,0,242
18000,2.75,-0.301,0,243
18000,2.75,0,0,245
18000,2.75,0.301,0,246
18000,3,-1,0,247
18000,3,-0.699,0,248
18000,3,-0.301,0,249
18000,3,0,0,251
18000,3,0.301,0,252
18000,3.25,-1,0,253
18000,3.25,-0.699,0,254
18000,3.25,-0.301,0,255
18000,3.25,0,0,257
18000,3.25,0.301,0,258
18000,3.5,-1,0,259
18000,3.5,-0.699,0,260
18000,3.5,-0.301,0,261
18000,3.5,0,0,263
18000,3.5,0.301,0,264
18000,3.75,-1,0,265
18000,3.75,-0.699,0,266
18000,3.75,-0.301,0,267
18000,3.75,0,0,269
18000,3.75,0.301,0,270
18000,4,-1,0,271
18000,4,-0.699,0,272
18000,4,-0.301,0,273
18000,4,0,0,275
18000,4,0.301,0,276
18000,4.25,-1,0,277
18000,4.25,-0.699,0,278
18000,4.25,-0.301,0,279
18000,4.25,0,0,281
18000,4.25,0.301,0,282
18000,4.5,-1,0,283
18000,4.5,-0.699,0,284
18000,4.5,-0.301,0,285
18000,4.5,0,0,287
18000,4.5,0.301,0,288
18000,4.75,-1,0,289
18000,4.75,-0.699,0,290
18000,4.75,-0.301,0,291
18000,4.75,0,0,293
18000,4.75,0.301,0,294
19000,2.25,-1,0,295
19000,2.25,-0.699,0,296
19000,2.25,-0.301,0,297
19000,2.25,0,0,299
19000,2.25,0.301,0,300
19000,2.5,-1,0,301
19000,2.5,-0.699,0,302
19000,2.5,-0.301,0,303
19000,2.5,0,0,305
19000,2.5,0.301,0,306
19000,2.75,-1,0,307
19000,2.75,-0.699,0,308
19000,2.75,-0.301,0,309
19000,2.75,0,0,311
19000,2.75,0.301,0,312
19000,3,-1,0,313
19000,3,-0.699,0,314
19000,3,-0.301,0,315
19000,3,0,0,317
19000,3,0.301,0,318
19000,3.25,-1,0,319
19000,3.25,-0.699,0,320
19000,3.25,-0.301,0,321
